"DTIME";"SPEED";"HEIGHT"
"2020-01-09 08:17:06";0;1.5
"2020-01-09 08:18:06";0;1.5
"2020-01-09 08:19:00";0;1.5
"2020-01-09 08:19:06";0;1.5
"2020-01-09 08:20:06";0;1.5
"2020-01-09 08:20:28";0;1.5
"2020-01-09 10:09:14";0;1.5
"2020-01-09 10:09:15";0;1.5
"2020-01-09 10:10:14";0;1.5
"2020-01-09 10:11:14";0;1.5
"2020-01-09 10:12:02";32;1.9
"2020-01-09 10:12:14";1;2.4
"2020-01-09 10:12:19";11;5.4
"2020-01-09 10:12:24";34;7
"2020-01-09 10:12:33";30;7.4
"2020-01-09 10:12:35";34;8
"2020-01-09 10:12:41";26;9.7
"2020-01-09 10:12:43";21;9.6
"2020-01-09 10:12:46";31;9.4
"2020-01-09 10:13:07";31;-1
"2020-01-09 10:13:36";37;-1.3
"2020-01-09 10:13:40";46;-3
"2020-01-09 10:14:36";1;-16.1
"2020-01-09 10:15:02";16;-14.1
"2020-01-09 10:15:06";20;-7.9
"2020-01-09 10:15:08";21;-5.7
"2020-01-09 10:15:10";31;-4.5
"2020-01-09 10:15:22";48;-1.8
"2020-01-09 10:15:36";54;2
"2020-01-09 10:16:15";8;5.6
"2020-01-09 10:16:33";51;10.6
"2020-01-09 10:16:36";53;10.9
"2020-01-09 10:17:26";18;15.4
"2020-01-09 10:17:28";22;18.3
"2020-01-09 10:17:34";27;30
"2020-01-09 10:17:36";21;33.6
"2020-01-09 10:17:41";12;41.7
"2020-01-09 10:17:48";9;41.4
"2020-01-09 10:17:54";25;41.5
"2020-01-09 10:18:03";5;40.7
"2020-01-09 10:18:09";11;39.3
"2020-01-09 10:18:13";15;37.3
"2020-01-09 10:18:31";10;33
"2020-01-09 10:18:34";16;33.8
"2020-01-09 10:18:36";17;33.6
"2020-01-09 10:18:40";9;31.8
"2020-01-09 10:19:36";0;27.5
"2020-01-09 10:20:36";0;27
"2020-01-09 10:20:58";7;25.8
"2020-01-09 10:21:06";11;26.5
"2020-01-09 10:21:13";7;27.2
"2020-01-09 10:21:16";12;26.1
"2020-01-09 10:21:36";7;22.5
"2020-01-09 10:21:43";13;22.1
"2020-01-09 10:21:45";21;22.8
"2020-01-09 10:22:03";12;19.5
"2020-01-09 10:22:06";15;17.6
"2020-01-09 10:22:09";21;17
"2020-01-09 10:22:19";8;14.8
"2020-01-09 10:22:29";15;14.4
"2020-01-09 10:22:33";33;14.7
"2020-01-09 10:22:36";40;15
"2020-01-09 10:22:48";58;13.1
"2020-01-09 10:22:54";58;10.3
"2020-01-09 10:23:05";34;8.3
"2020-01-09 10:23:24";37;7.4
"2020-01-09 10:23:36";57;7
"2020-01-09 10:24:36";3;12.8
"2020-01-09 10:25:36";1;15.4
"2020-01-09 10:25:43";16;11.8
"2020-01-09 10:25:45";23;11.1
"2020-01-09 10:25:48";25;10.3
"2020-01-09 10:26:34";14;4.9
"2020-01-09 10:26:36";6;5
"2020-01-09 10:26:40";17;5.2
"2020-01-09 10:26:44";35;6.2
"2020-01-09 10:26:52";55;5.9
"2020-01-09 10:26:56";50;5.2
"2020-01-09 10:27:01";48;3.9
"2020-01-09 10:27:08";31;1
"2020-01-09 10:27:36";0;0.4
"2020-01-09 10:28:10";17;0.3
"2020-01-09 10:28:36";0;-1.4
"2020-01-09 10:29:12";3;-0.5
"2020-01-09 10:29:23";4;0.9
"2020-01-09 10:29:36";4;4.2
"2020-01-09 10:30:36";0;13.6
"2020-01-09 10:31:36";0;26.4
"2020-01-09 10:32:36";0;13.9
"2020-01-09 10:33:36";0;13.3
"2020-01-09 10:34:36";0;12.7
"2020-01-09 10:35:36";0;12.8
"2020-01-09 10:36:36";0;12.5
"2020-01-09 10:37:36";0;12.3
"2020-01-09 10:38:36";0;12.2
"2020-01-09 10:39:36";0;11.3
"2020-01-09 10:40:36";0;12.6
"2020-01-09 10:41:36";0;12.5
"2020-01-09 10:42:36";0;13.3
"2020-01-09 10:43:36";0;13.6
"2020-01-09 10:44:36";0;13.5
"2020-01-09 10:45:36";0;13.8
"2020-01-09 10:46:36";0;12.6
"2020-01-09 10:47:36";0;12.9
"2020-01-09 10:48:36";0;12.9
"2020-01-09 10:49:35";0;13
"2020-01-09 10:49:36";0;13
"2020-01-09 10:50:36";1;12.6
"2020-01-09 10:50:46";6;11.6
"2020-01-09 10:50:54";9;16.3
"2020-01-09 10:51:01";8;20.4
"2020-01-09 10:51:17";8;18
"2020-01-09 10:51:24";4;13.3
"2020-01-09 10:51:31";10;11.6
"2020-01-09 10:51:36";10;10.6
"2020-01-09 10:51:56";9;10.9
"2020-01-09 10:52:17";8;14.3
"2020-01-09 10:52:24";16;14.2
