"TSID";"STARTDATE";"ENDDATE";"STARTLEVEL";"ENDLEVEL"
3;"2019-01-09 06:55:14";"2019-01-09 13:46:15";130,7;97,3
3;"2019-01-11 07:43:27";"2019-01-11 07:51:27";94,5;273
3;"2019-01-11 07:51:27";"2019-01-11 14:12:26";273;243,3
3;"2019-01-17 08:01:46";"2019-01-17 10:48:47";239,1;232,3
3;"2019-02-06 04:35:00";"2019-02-06 04:53:00";225,9;217,4
3;"2019-02-06 05:08:00";"2019-02-06 05:27:00";212,5;200,6
3;"2019-02-06 05:27:00";"2019-02-06 06:25:00";200,6;184,7
3;"2019-02-06 06:25:00";"2019-02-06 14:15:10";184,7;290,6
3;"2019-02-06 14:15:10";"2019-02-06 14:58:10";290,6;271,2
3;"2019-02-06 14:58:10";"2019-02-06 15:39:10";271,2;245,1
3;"2019-02-06 15:39:10";"2019-02-07 07:05:32";245,1;215,1
3;"2019-02-07 07:05:32";"2019-02-07 07:19:32";215,1;204
3;"2019-02-07 07:23:32";"2019-02-07 07:24:32";203,5;197,2
3;"2019-02-07 07:39:32";"2019-02-07 07:53:32";193,8;277,6
3;"2019-02-07 07:53:32";"2019-02-07 08:21:32";277,6;270,2
3;"2019-02-07 08:21:32";"2019-02-07 08:33:32";270,2;260,6
3;"2019-02-07 08:33:32";"2019-02-07 08:46:32";260,6;254,4
3;"2019-02-07 08:46:32";"2019-02-07 11:08:32";254,4;228,4
3;"2019-02-07 11:53:32";"2019-02-07 14:52:32";225,5;196,5
3;"2019-02-07 14:52:32";"2019-02-07 15:38:32";196,5;170,2
3;"2019-02-07 15:58:32";"2019-02-07 16:13:32";166,3;153
3;"2019-02-07 16:13:32";"2019-02-07 16:45:32";153;140,8
3;"2019-02-07 16:45:32";"2019-02-07 17:09:32";140,8;123,8
3;"2019-02-18 06:33:07";"2019-02-18 10:25:04";114,8;98
3;"2019-02-18 11:55:29";"2019-02-18 15:50:31";98;75,5
3;"2019-03-05 10:10:40";"2019-03-05 12:34:40";63,7;53,6
3;"2019-03-05 12:34:40";"2019-03-05 12:41:40";53,6;143,8
3;"2019-03-05 12:41:40";"2019-03-05 13:45:39";143,8;137,7
