"DTIME","BEVALUE"
"2019-01-05 10:12:05",131,6
"2019-01-05 10:13:58",131,4
"2019-01-05 10:14:58",131,3
"2019-01-05 10:15:57",131,1
"2019-01-05 10:16:57",131
"2019-01-05 10:17:57",130
"2019-01-05 10:18:57",131,3
"2019-01-09 06:22:59",130,8
"2019-01-09 06:55:14",130,6
"2019-01-09 06:56:15",130,5
"2019-01-09 06:57:15",130,5
"2019-01-09 06:58:15",130,5
"2019-01-09 06:59:15",130,4
"2019-01-09 07:00:15",130,2
"2019-01-09 07:01:15",130,1
"2019-01-09 07:02:15",130
"2019-01-09 07:03:15",130
"2019-01-09 07:04:15",129,9
"2019-01-09 07:05:15",129,8
"2019-01-09 07:06:15",129,7
"2019-01-09 07:07:15",129,6
"2019-01-09 07:08:15",129,5
"2019-01-09 07:09:15",129,4
"2019-01-09 07:10:15",129,4
"2019-01-09 07:11:15",129,3
"2019-01-09 07:12:15",129,2
"2019-01-09 07:13:15",129,1
"2019-01-09 07:14:15",129
"2019-01-09 07:15:15",129
"2019-01-09 07:16:15",128,9
"2019-01-09 07:17:15",126,7
"2019-01-09 07:18:15",128,4
"2019-01-09 07:19:15",128,5
"2019-01-09 07:20:15",128,4
"2019-01-09 07:21:15",128,3
"2019-01-09 07:22:15",128,3
"2019-01-09 07:23:15",128,3
"2019-01-09 07:24:15",128,2
"2019-01-09 07:25:15",128,1
"2019-01-09 07:26:15",128
"2019-01-09 07:27:15",127,9
"2019-01-09 07:28:15",127,9
"2019-01-09 07:29:15",127,8
"2019-01-09 07:30:15",127,8
"2019-01-09 07:31:15",127,8
"2019-01-09 07:32:15",127,7
"2019-01-09 07:33:15",127,7
"2019-01-09 07:34:15",127,6
"2019-01-09 07:35:15",127,5
"2019-01-09 07:36:15",127,5
"2019-01-09 07:37:15",127,4
"2019-01-09 07:38:15",127,2
"2019-01-09 07:39:15",127,2
"2019-01-09 07:40:15",127,2
"2019-01-09 07:41:15",127,2
"2019-01-09 07:42:15",127,2
"2019-01-09 07:43:15",127,1
"2019-01-09 07:44:15",127,1
"2019-01-09 07:45:15",126,5
"2019-01-09 07:46:15",125,5
"2019-01-09 07:47:15",125,7
"2019-01-09 07:48:15",125,4
"2019-01-09 07:49:15",124,5
"2019-01-09 07:50:15",125,6
"2019-01-09 07:51:15",122,9
"2019-01-09 07:52:15",124,3
"2019-01-09 07:53:15",124,2
"2019-01-09 07:54:15",124,1
"2019-01-09 07:55:15",124
"2019-01-09 07:56:15",124,6
"2019-01-09 07:57:15",125,1
"2019-01-09 07:58:15",125,1
"2019-01-09 07:59:15",125
"2019-01-09 08:00:15",124,9
"2019-01-09 08:01:15",125,1
"2019-01-09 08:02:15",125,1
"2019-01-09 08:03:15",122,7
"2019-01-09 08:04:15",122,4
"2019-01-09 08:05:15",122,1
"2019-01-09 08:06:15",122,4
"2019-01-09 08:07:15",121
"2019-01-09 08:08:15",120,9
"2019-01-09 08:09:15",121,4
"2019-01-09 08:10:15",122,3
"2019-01-09 08:11:15",122,3
"2019-01-09 08:12:15",122,2
"2019-01-09 08:13:15",122,1
"2019-01-09 08:14:15",122,1
"2019-01-09 08:15:15",122
"2019-01-09 08:16:15",121,9
"2019-01-09 08:17:15",121,8
"2019-01-09 08:18:15",121,8
"2019-01-09 08:19:14",121,8
"2019-01-09 08:20:15",121,7
"2019-01-09 08:21:15",121,6
"2019-01-09 08:22:15",121,6
