"DTIME";"BEVALUE"
"2019-01-05 10:12:05";1
"2019-01-05 10:13:58";1
"2019-01-05 10:14:58";1
"2019-01-05 10:15:57";1
"2019-01-05 10:16:57";1
"2019-01-05 10:17:21";1
"2019-01-05 10:17:57";1
"2019-01-05 10:18:57";1
"2019-01-05 10:19:57";0
"2019-01-05 10:21:04";0
"2019-01-05 10:22:04";0
"2019-01-09 06:22:59";1
"2019-01-09 06:23:58";1
"2019-01-09 06:29:23";1
"2019-01-09 06:29:25";0
"2019-01-09 06:55:14";1
"2019-01-09 06:56:15";1
"2019-01-09 06:57:15";1
"2019-01-09 06:58:15";1
"2019-01-09 06:59:15";1
"2019-01-09 07:00:15";1
"2019-01-09 07:01:15";1
"2019-01-09 07:02:15";1
"2019-01-09 07:03:15";1
"2019-01-09 07:04:15";1
"2019-01-09 07:05:15";1
"2019-01-09 07:06:15";1
"2019-01-09 07:07:15";1
"2019-01-09 07:08:15";1
"2019-01-09 07:09:15";1
"2019-01-09 07:10:15";1
"2019-01-09 07:11:15";1
"2019-01-09 07:12:15";1
"2019-01-09 07:13:15";1
"2019-01-09 07:14:15";1
"2019-01-09 07:15:15";1
"2019-01-09 07:16:15";1
"2019-01-09 07:16:52";1
"2019-01-09 07:17:15";1
"2019-01-09 07:18:15";1
"2019-01-09 07:19:15";1
"2019-01-09 07:20:15";1
"2019-01-09 07:21:15";1
"2019-01-09 07:22:15";1
"2019-01-09 07:23:15";1
"2019-01-09 07:24:15";1
"2019-01-09 07:25:15";1
"2019-01-09 07:26:15";1
"2019-01-09 07:27:15";1
"2019-01-09 07:28:15";1
"2019-01-09 07:29:15";1
"2019-01-09 07:30:15";1
"2019-01-09 07:31:15";1
"2019-01-09 07:32:15";1
"2019-01-09 07:33:15";1
"2019-01-09 07:34:15";1
"2019-01-09 07:35:15";1
"2019-01-09 07:36:15";1
"2019-01-09 07:37:15";1
"2019-01-09 07:38:15";1
"2019-01-09 07:39:15";1
"2019-01-09 07:40:15";1
"2019-01-09 07:41:15";1
"2019-01-09 07:42:15";1
"2019-01-09 07:43:15";1
"2019-01-09 07:44:15";1
"2019-01-09 07:44:54";1
"2019-01-09 07:45:07";1
"2019-01-09 07:45:15";1
"2019-01-09 07:45:22";1
"2019-01-09 07:45:27";1
"2019-01-09 07:45:56";1
"2019-01-09 07:46:15";1
"2019-01-09 07:46:43";1
"2019-01-09 07:46:51";1
"2019-01-09 07:46:55";1
"2019-01-09 07:46:59";1
"2019-01-09 07:47:06";1
"2019-01-09 07:47:12";1
"2019-01-09 07:47:15";1
"2019-01-09 07:47:31";1
"2019-01-09 07:47:36";1
"2019-01-09 07:48:15";1
"2019-01-09 07:48:25";1
"2019-01-09 07:48:28";1
"2019-01-09 07:48:35";1
"2019-01-09 07:48:51";1
"2019-01-09 07:48:55";1
"2019-01-09 07:48:58";1
"2019-01-09 07:49:01";1
"2019-01-09 07:49:07";1
"2019-01-09 07:49:15";1
"2019-01-09 07:49:26";1
"2019-01-09 07:49:32";1
"2019-01-09 07:49:37";1
"2019-01-09 07:49:40";1
"2019-01-09 07:49:44";1
"2019-01-09 07:49:49";1
"2019-01-09 07:49:55";1
"2019-01-09 07:50:02";1
"2019-01-09 07:50:07";1
"2019-01-09 07:50:11";1
"2019-01-09 07:50:15";1
"2019-01-09 07:50:32";1
"2019-01-09 07:50:46";1
"2019-01-09 07:50:55";1
"2019-01-09 07:50:56";1
"2019-01-09 07:51:15";1
"2019-01-09 07:52:15";1
"2019-01-09 07:53:15";1
"2019-01-09 07:54:15";1
"2019-01-09 07:55:15";1
"2019-01-09 07:55:55";1
"2019-01-09 07:56:15";1
"2019-01-09 07:57:15";1
"2019-01-09 07:58:15";1
"2019-01-09 07:59:15";1
"2019-01-09 08:00:15";1
"2019-01-09 08:00:59";1
"2019-01-09 08:01:15";1
"2019-01-09 08:02:15";1
"2019-01-09 08:03:03";1
"2019-01-09 08:03:09";1
"2019-01-09 08:03:14";1
"2019-01-09 08:03:15";1
"2019-01-09 08:03:23";1
"2019-01-09 08:03:34";1
"2019-01-09 08:03:46";1
"2019-01-09 08:03:50";1
"2019-01-09 08:03:53";1
"2019-01-09 08:03:56";1
"2019-01-09 08:04:08";1
"2019-01-09 08:04:15";1
"2019-01-09 08:04:20";1
"2019-01-09 08:04:26";1
"2019-01-09 08:04:31";1
"2019-01-09 08:04:38";1
"2019-01-09 08:04:44";1
"2019-01-09 08:05:05";1
"2019-01-09 08:05:08";1
"2019-01-09 08:05:10";1
"2019-01-09 08:05:14";1
"2019-01-09 08:05:15";1
"2019-01-09 08:05:55";1
"2019-01-09 08:05:58";1
"2019-01-09 08:05:59";1
"2019-01-09 08:06:03";1
"2019-01-09 08:06:10";1
"2019-01-09 08:06:15";1
"2019-01-09 08:06:20";1
"2019-01-09 08:06:38";1
"2019-01-09 08:06:43";1
"2019-01-09 08:06:45";1
"2019-01-09 08:06:47";1
"2019-01-09 08:06:51";1
"2019-01-09 08:07:15";1
"2019-01-09 08:07:28";1
"2019-01-09 08:08:01";1
"2019-01-09 08:08:15";1
"2019-01-09 08:09:15";1
"2019-01-09 08:10:15";1
"2019-01-09 08:11:15";1
"2019-01-09 08:12:15";1
"2019-01-09 08:13:15";1
"2019-01-09 08:14:15";1
"2019-01-09 08:15:15";1
"2019-01-09 08:16:15";1
"2019-01-09 08:17:15";1
"2019-01-09 08:18:15";1
"2019-01-09 08:19:14";1
"2019-01-09 08:20:15";1
"2019-01-09 08:21:15";1
"2019-01-09 08:22:15";1
"2019-01-09 08:23:15";1
"2019-01-09 08:24:15";1
"2019-01-09 08:25:15";1
"2019-01-09 08:25:52";1
"2019-01-09 08:26:15";1
"2019-01-09 08:26:21";1
"2019-01-09 08:26:25";1
"2019-01-09 08:26:53";1
"2019-01-09 08:27:13";1
"2019-01-09 08:27:15";1
"2019-01-09 08:27:23";1
"2019-01-09 08:27:26";1
"2019-01-09 08:27:28";1
"2019-01-09 08:27:36";1
"2019-01-09 08:27:40";1
"2019-01-09 08:27:55";1
"2019-01-09 08:28:02";1
"2019-01-09 08:28:11";1
"2019-01-09 08:28:15";1
"2019-01-09 08:28:24";1
"2019-01-09 08:28:26";1
"2019-01-09 08:28:30";1
"2019-01-09 08:28:48";1
"2019-01-09 08:28:51";1
"2019-01-09 08:28:54";1
"2019-01-09 08:28:58";1
"2019-01-09 08:29:03";1
"2019-01-09 08:29:15";1
"2019-01-09 08:29:26";1
"2019-01-09 08:29:31";1
"2019-01-09 08:29:36";1
"2019-01-09 08:29:40";1
"2019-01-09 08:29:45";1
"2019-01-09 08:29:50";1
"2019-01-09 08:29:57";1
"2019-01-09 08:30:07";1
"2019-01-09 08:30:11";1
"2019-01-09 08:30:15";1
"2019-01-09 08:30:27";1
"2019-01-09 08:30:35";1
"2019-01-09 08:30:43";1
"2019-01-09 08:30:53";1
"2019-01-09 08:30:59";1
"2019-01-09 08:31:02";1
"2019-01-09 08:31:15";1
"2019-01-09 08:32:15";1
"2019-01-09 08:33:13";1
"2019-01-09 08:33:15";1
"2019-01-09 08:34:15";1
"2019-01-09 08:34:34";1
"2019-01-09 08:34:51";1
"2019-01-09 08:34:58";1
"2019-01-09 08:35:11";1
"2019-01-09 08:35:15";1
"2019-01-09 08:35:18";1
"2019-01-09 08:35:21";1
"2019-01-09 08:35:23";1
"2019-01-09 08:35:35";1
"2019-01-09 08:35:43";1
"2019-01-09 08:35:50";1
"2019-01-09 08:35:55";1
"2019-01-09 08:35:59";1
"2019-01-09 08:36:03";1
"2019-01-09 08:36:10";1
"2019-01-09 08:36:14";1
"2019-01-09 08:36:15";1
