"DTIME";"BEVALUE"
"2019-01-05 10:12:05";705
"2019-01-05 10:13:58";707
"2019-01-05 10:14:58";1708
"2019-01-05 10:15:57";1314
"2019-01-05 10:16:57";1491
"2019-01-05 10:17:21";1303
"2019-01-05 10:17:57";825
"2019-01-05 10:18:57";1294
"2019-01-05 10:19:57";0
"2019-01-05 10:21:04";0
"2019-01-05 10:22:04";0
"2019-01-09 06:22:59";699
"2019-01-09 06:23:58";0
"2019-01-09 06:29:23";0
"2019-01-09 06:29:25";0
"2019-01-09 06:55:14";0
"2019-01-09 06:56:15";0
"2019-01-09 06:57:15";0
"2019-01-09 06:58:15";997
"2019-01-09 06:59:15";1000
"2019-01-09 07:00:15";997
"2019-01-09 07:01:15";1000
"2019-01-09 07:02:15";1000
"2019-01-09 07:03:15";999
"2019-01-09 07:04:15";1001
"2019-01-09 07:05:15";997
"2019-01-09 07:06:15";1000
"2019-01-09 07:07:15";1000
"2019-01-09 07:08:15";999
"2019-01-09 07:09:15";1002
"2019-01-09 07:10:15";999
"2019-01-09 07:11:15";1003
"2019-01-09 07:12:15";997
"2019-01-09 07:13:15";1001
"2019-01-09 07:14:15";999
"2019-01-09 07:15:15";998
"2019-01-09 07:16:15";997
"2019-01-09 07:16:52";1419
"2019-01-09 07:17:15";1624
"2019-01-09 07:18:15";1001
"2019-01-09 07:19:15";1000
"2019-01-09 07:20:15";1000
"2019-01-09 07:21:15";997
"2019-01-09 07:22:15";1000
"2019-01-09 07:23:15";998
"2019-01-09 07:24:15";1002
"2019-01-09 07:25:15";999
"2019-01-09 07:26:15";1002
"2019-01-09 07:27:15";998
"2019-01-09 07:28:15";997
"2019-01-09 07:29:15";1002
"2019-01-09 07:30:15";999
"2019-01-09 07:31:15";999
"2019-01-09 07:32:15";997
"2019-01-09 07:33:15";1001
"2019-01-09 07:34:15";1002
"2019-01-09 07:35:15";998
"2019-01-09 07:36:15";1002
"2019-01-09 07:37:15";1002
"2019-01-09 07:38:15";999
"2019-01-09 07:39:15";997
"2019-01-09 07:40:15";998
"2019-01-09 07:41:15";1003
"2019-01-09 07:42:15";999
"2019-01-09 07:43:15";1001
"2019-01-09 07:44:15";699
"2019-01-09 07:44:54";751
"2019-01-09 07:45:07";888
"2019-01-09 07:45:15";879
"2019-01-09 07:45:22";1033
"2019-01-09 07:45:27";1333
