"DTIME";"BEVALUE"
"2019-01-08 09:30:34";35
"2019-01-08 09:31:34";34,5
"2019-01-08 09:32:34";34,3
"2019-01-08 09:33:34";34,1
"2019-01-08 09:34:34";34
"2019-01-08 09:38:31";34,4
"2019-01-08 09:44:10";34,3
"2019-01-08 09:45:10";34,1
"2019-01-08 09:46:10";34
"2019-01-08 09:47:10";33,8
"2019-01-08 09:48:10";33,8
"2019-01-08 09:49:10";33,8
"2019-01-08 09:50:10";33,8
"2019-01-08 09:51:10";33,5
"2019-01-08 09:52:10";33,3
"2019-01-08 09:53:10";33,4
"2019-01-08 09:54:10";33,4
"2019-01-08 09:55:10";33,4
"2019-01-08 09:56:10";33,3
"2019-01-08 09:57:10";33,2
"2019-01-08 09:58:10";33,3
"2019-01-08 09:59:10";33,3
"2019-01-08 10:00:10";33,2
"2019-01-08 10:01:10";33,1
"2019-01-08 10:02:10";33,2
"2019-01-08 10:03:10";33,4
"2019-01-08 10:04:10";33,3
"2019-01-08 10:05:10";33,2
"2019-01-08 10:06:10";33,3
"2019-01-08 10:07:10";33,3
"2019-01-08 10:08:10";33,2
"2019-01-08 10:09:10";33,2
"2019-01-08 10:10:10";33,2
"2019-01-08 10:11:10";33,3
"2019-01-08 10:12:10";33,4
"2019-01-08 10:13:10";33,2
"2019-01-08 10:14:10";32,9
"2019-01-08 10:15:10";33,1
"2019-01-08 10:16:10";33,1
"2019-01-08 10:17:09";33
"2019-01-08 10:18:10";33
"2019-01-08 10:19:10";33,1
"2019-01-08 10:20:10";32,8
"2019-01-08 10:21:10";30,5
"2019-01-08 10:22:10";29,9
"2019-01-08 10:23:10";31,9
"2019-01-08 10:24:10";33
"2019-01-08 10:25:10";32
"2019-01-08 10:26:10";30,1
"2019-01-08 10:27:10";30,6
"2019-01-08 10:28:10";30,2
"2019-01-08 10:29:10";29
"2019-01-08 10:30:10";29
"2019-01-08 10:31:10";28,8
"2019-01-08 10:32:10";28,6
"2019-01-08 10:33:10";28,8
"2019-01-08 10:34:10";29
"2019-01-08 10:35:10";28,7
"2019-01-08 10:36:10";28,5
"2019-01-08 10:37:10";28,6
"2019-01-08 10:38:10";28,7
"2019-01-08 10:39:10";29,9
"2019-01-08 10:40:10";32
"2019-01-08 10:41:10";32,1
"2019-01-08 10:42:10";31,2
"2019-01-08 10:43:10";32,1
"2019-01-08 10:44:10";30,7
"2019-01-08 10:45:10";28,1
"2019-01-08 10:46:10";28,1
"2019-01-08 10:47:09";28,3
"2019-01-08 10:48:10";28,5
"2019-01-08 10:49:10";28,4
"2019-01-08 10:50:10";28,3
"2019-01-08 10:51:10";28,3
"2019-01-08 10:52:10";28,9
"2019-01-08 10:53:10";29,5
"2019-01-08 10:54:10";29
"2019-01-08 10:55:10";28,3
"2019-01-08 10:56:10";28,4
"2019-01-08 10:57:10";28,5
"2019-01-08 10:58:10";28,6
"2019-01-08 10:59:10";28,7
"2019-01-08 11:00:10";28,7
"2019-01-08 11:01:10";28,7
"2019-01-08 11:02:10";28,7
"2019-01-08 11:03:10";28,7
"2019-01-08 11:04:10";28,7
"2019-01-08 11:05:10";28,6
"2019-01-08 11:06:10";28,6
"2019-01-08 11:07:10";28,8
"2019-01-08 11:08:10";28,8
"2019-01-08 11:09:10";28,6
"2019-01-08 11:10:10";28,6
"2019-01-08 11:11:10";28,7
"2019-01-08 11:12:10";28,6
"2019-01-08 11:13:10";28,6
"2019-01-08 11:14:10";28,5
"2019-01-08 11:15:10";28,5
"2019-01-08 11:16:10";28,7
"2019-01-08 11:17:10";28,6
"2019-01-08 11:18:10";28,5
"2019-01-08 11:19:10";28,5
"2019-01-08 11:20:10";28,7
"2019-01-08 11:21:10";28,7
"2019-01-08 11:22:10";28,5
"2019-01-08 11:23:10";28,7
"2019-01-08 11:24:10";28,8
"2019-01-08 11:25:10";28,7
"2019-01-08 11:26:10";28,6
"2019-01-08 11:27:10";28,5
"2019-01-08 11:28:10";28,6
"2019-01-08 11:29:10";28,7
"2019-01-08 11:30:10";28,8
"2019-01-08 11:31:10";28,7
"2019-01-08 11:32:10";28,7
"2019-01-08 11:33:10";28,7
"2019-01-08 11:34:10";28,7
"2019-01-08 11:35:10";28,5
"2019-01-08 11:36:10";27,9
"2019-01-08 11:37:10";27,6
"2019-01-08 11:38:10";27,5
"2019-01-08 11:39:10";27,3
"2019-01-08 11:40:10";26,9
"2019-01-08 11:41:10";27,2
"2019-01-08 11:42:10";26,6
"2019-01-08 11:43:10";25,6
"2019-01-08 11:44:10";25,5
"2019-01-08 11:45:10";24,7
"2019-01-08 11:46:10";24,4
"2019-01-08 11:47:10";24,2
"2019-01-08 11:48:10";24,2
"2019-01-08 11:49:10";24,2
"2019-01-08 11:50:10";24,1
"2019-01-08 11:51:10";24,2
"2019-01-08 11:52:10";24,6
"2019-01-08 11:53:10";24,5
"2019-01-08 11:54:10";24,1
"2019-01-08 11:55:10";24,2
"2019-01-08 11:56:10";24,2
"2019-01-08 11:57:10";24,2
"2019-01-08 11:58:10";24,1
"2019-01-08 11:59:10";24,1
"2019-01-08 12:00:10";24,2
"2019-01-08 12:01:10";24,2
"2019-01-08 12:02:10";24,1
"2019-01-08 12:03:10";24,2
"2019-01-08 12:04:10";24,2
"2019-01-08 12:05:10";24,2
"2019-01-08 12:06:10";24,2
"2019-01-08 12:07:10";24,1
"2019-01-08 12:08:10";24,1
"2019-01-09 07:16:38";24,7
"2019-01-09 07:17:53";24,5
"2019-01-09 07:18:53";24,3
"2019-01-09 07:19:53";24,3
