"TSID";"STARTDATE";"ENDDATE";"STARTLEVEL";"ENDLEVEL"
19;"2019-01-08 09:30:34";"2019-01-08 12:08:10";34,5;24,3
19;"2019-01-09 07:16:38";"2019-01-09 10:35:53";24,3;16,8
19;"2019-01-09 12:15:40";"2019-01-09 15:50:40";16,8;8,9
19;"2019-01-10 07:43:22";"2019-01-10 07:49:22";7,9;95
19;"2019-01-10 07:49:22";"2019-01-10 10:26:22";95;88,7
19;"2019-01-10 12:19:05";"2019-01-10 12:23:05";88,2;70,1
19;"2019-01-10 12:23:05";"2019-01-10 15:38:06";70,1;51,5
19;"2019-01-11 06:49:20";"2019-01-11 14:19:21";51,5;32,7
19;"2019-02-12 12:19:50";"2019-02-12 14:07:51";12,3;3,9
19;"2019-02-18 07:34:44";"2019-02-18 07:40:44";1,8;95
19;"2019-02-18 07:40:44";"2019-02-18 10:16:44";95;88,5
19;"2019-02-18 10:16:44";"2019-02-18 10:17:44";88,5;80,3
19;"2019-02-18 10:30:44";"2019-02-18 10:31:44";79,3;67,2
19;"2019-02-18 12:06:07";"2019-02-18 15:17:07";67,7;47,4
19;"2019-02-26 08:12:13";"2019-02-26 09:28:14";47,4;40,3
19;"2019-02-28 12:09:56";"2019-02-28 15:24:57";37,5;24,8
19;"2019-03-05 08:31:44";"2019-03-05 14:10:46";26,3;0,5
19;"2019-03-06 13:15:51";"2019-03-06 13:21:51";4,4;95
19;"2019-03-10 08:49:22";"2019-03-10 08:55:22";90,5;69,9
19;"2019-03-10 08:57:22";"2019-03-10 08:59:22";69,9;83,1
19;"2019-03-10 09:05:22";"2019-03-10 09:07:22";86,5;76,4
19;"2019-03-11 08:23:13";"2019-03-11 08:24:13";81,3;68,3
19;"2019-03-11 08:24:13";"2019-03-11 10:35:13";68,3;56,5
19;"2019-03-11 12:09:40";"2019-03-11 15:21:42";56,5;40,2
19;"2019-03-12 08:25:33";"2019-03-12 10:08:09";40,2;34
19;"2019-03-15 07:12:43";"2019-03-15 11:14:44";31,4;17,7
19;"2019-03-18 12:05:29";"2019-03-18 15:05:22";10;0,2
19;"2019-03-19 06:41:30";"2019-03-19 07:00:35";0,3;94,9
19;"2019-03-19 07:00:35";"2019-03-19 09:34:58";94,9;87,8
19;"2019-03-20 08:16:02";"2019-03-20 09:37:02";87;67
19;"2019-03-20 12:19:34";"2019-03-20 13:43:34";67;52,9
19;"2019-03-27 12:13:05";"2019-03-27 14:15:06";53;44,4
19;"2019-04-09 07:54:33";"2019-04-09 08:46:34";39,5;33,9
19;"2019-04-17 07:39:49";"2019-04-17 08:53:49";9,1;0,2
19;"2019-04-17 08:53:49";"2019-04-17 08:59:49";0,2;95
19;"2019-10-15 15:19:10";"2019-10-16 07:21:29";95;31,4
19;"2019-10-18 07:55:46";"2019-10-18 08:00:46";15,1;95
19;"2019-10-23 09:32:03";"2019-10-23 09:36:03";91;71,3
19;"2019-10-23 11:53:54";"2019-10-23 12:31:54";69,4;54,6
19;"2019-10-25 12:05:47";"2019-10-25 14:38:18";54,6;48,7
19;"2019-10-28 08:28:33";"2019-10-28 10:26:33";48,7;38,1
19;"2019-10-31 09:44:41";"2019-10-31 10:36:41";35,6;30,4
19;"2019-10-31 11:59:59";"2019-10-31 15:19:59";30,4;22,4
19;"2019-11-01 10:14:39";"2019-11-01 10:20:39";18,4;91,3
19;"2019-11-01 11:58:39";"2019-11-01 12:04:39";91,3;76,3
19;"2019-11-01 12:04:39";"2019-11-01 13:34:56";76,3;69,5
19;"2019-11-06 07:32:25";"2019-11-06 07:35:25";68,7;59,6
19;"2019-11-06 07:35:25";"2019-11-06 08:27:25";59,6;54,1
19;"2019-11-07 10:25:02";"2019-11-07 12:13:36";54,1;39
19;"2019-11-08 06:49:28";"2019-11-08 10:22:33";35,5;26,5
19;"2019-11-18 12:43:02";"2019-11-18 12:51:02";22,2;95
19;"2019-11-25 09:14:22";"2019-11-25 09:22:22";90,7;70,7
19;"2019-11-27 06:59:26";"2019-11-27 07:59:31";69,3;54,6
19;"2019-11-28 07:12:50";"2019-11-28 12:44:56";54,5;35,6
19;"2019-11-29 06:29:22";"2019-11-29 14:13:23";35,6;18,4
19;"2019-12-09 08:00:05";"2019-12-09 10:28:48";10,4;3,1
19;"2019-12-09 12:09:51";"2019-12-09 12:33:57";0,4;54,3
19;"2019-12-09 12:33:57";"2019-12-09 14:52:57";54,3;48,5
19;"2019-12-10 10:24:43";"2019-12-10 11:56:43";48,5;40,7
19;"2019-12-13 07:16:13";"2019-12-13 07:59:28";41,1;34,8
19;"2019-12-19 07:10:08";"2019-12-19 10:04:08";21,8;14,2
19;"2019-12-25 07:07:49";"2019-12-25 07:14:49";8,1;90,4
19;"2019-12-25 09:15:49";"2019-12-25 09:19:49";90,1;68,4
19;"2019-12-25 11:01:49";"2019-12-25 11:04:49";65,6;53
19;"2019-12-25 11:04:49";"2019-12-25 13:04:49";53;47,2
19;"2020-01-09 06:54:54";"2020-01-09 14:37:07";48,6;24,2
19;"2020-01-13 07:22:33";"2020-01-13 08:49:53";24,2;17,5
19;"2020-02-03 07:57:39";"2020-02-03 10:01:40";14;2,1
19;"2020-02-03 13:42:55";"2020-02-04 14:56:51";3,9;15,2
19;"2020-02-10 12:00:42";"2020-02-10 12:04:42";5,5;22,9
19;"2020-02-10 12:04:42";"2020-02-10 15:09:42";22,9;17,4
19;"2020-02-14 11:57:24";"2020-02-14 13:59:24";11,7;4,6
19;"2020-02-14 13:59:24";"2020-02-14 14:03:24";4,6;26,2
19;"2020-03-03 06:20:30";"2020-03-03 09:34:31";10,3;0,3
19;"2020-03-03 10:24:58";"2020-03-03 10:33:08";0,3;91,2
19;"2020-03-03 13:39:55";"2020-03-03 13:43:55";89,2;70,6
19;"2020-03-05 07:49:46";"2020-03-05 07:52:46";64,8;53,4
19;"2020-03-05 07:52:46";"2020-03-05 10:18:46";53,4;47,2
19;"2020-03-05 12:40:30";"2020-03-05 13:58:34";47,2;40,9
19;"2020-03-10 06:59:33";"2020-03-10 09:37:36";40,9;35
19;"2020-03-13 10:07:14";"2020-03-13 15:06:14";26,7;4,3
19;"2020-03-25 06:39:14";"2020-03-25 06:48:17";0,3;95
19;"2020-03-26 09:34:00";"2020-03-26 09:38:00";89,8;69,3
19;"2020-03-26 13:27:55";"2020-03-26 14:15:55";70,4;57,9
19;"2020-03-27 06:48:05";"2020-03-27 10:27:06";57,9;48,4
19;"2020-03-27 11:57:22";"2020-03-27 12:58:22";48,4;41,2
19;"2020-04-24 07:08:08";"2020-04-24 08:07:19";40,8;34,1
