"TSID";"STARTDATE";"ENDDATE";"STARTLEVEL";"ENDLEVEL"
28;"2020-01-09 15:42:33";"2020-01-09 17:21:33";38.1;30.1
28;"2020-01-13 10:19:17";"2020-01-13 10:21:17";28.8;59.1
28;"2020-01-16 17:12:15";"2020-01-16 17:55:15";27;21.5
28;"2020-01-17 11:06:13";"2020-01-17 11:11:05";19.6;58.6
28;"2020-01-17 11:11:05";"2020-01-17 12:33:14";58.6;52.8
28;"2020-01-20 10:52:00";"2020-01-20 12:00:27";43;36.8
28;"2020-01-21 10:23:28";"2020-01-21 10:27:28";28.9;59.5
28;"2020-01-21 14:06:18";"2020-01-21 15:09:18";54.9;47.2
28;"2020-01-22 16:08:14";"2020-01-22 16:50:14";44.7;39.4
28;"2020-01-24 14:44:12";"2020-01-24 14:49:33";28.9;59.1
28;"2020-01-30 10:56:12";"2020-01-30 11:09:23";32;58.7
28;"2020-01-30 14:48:47";"2020-01-30 15:49:47";52.2;46.6
28;"2020-02-04 10:07:03";"2020-02-04 10:10:57";20.6;59.5
28;"2020-02-05 15:30:04";"2020-02-05 17:24:28";49;43.9
28;"2020-02-06 15:54:56";"2020-02-06 15:59:56";18.7;59.2
28;"2020-02-07 15:01:18";"2020-02-07 16:12:17";54.5;49.2
28;"2020-02-10 11:24:13";"2020-02-10 12:58:13";48.2;42.5
28;"2020-02-11 16:23:01";"2020-02-11 16:27:01";30.5;59.1
28;"2020-02-12 07:48:11";"2020-02-12 09:33:11";58.3;53.2
28;"2020-02-12 15:22:47";"2020-02-12 17:13:39";53.2;47.6
28;"2020-02-13 14:47:30";"2020-02-13 15:48:30";43.9;37.4
28;"2020-02-14 10:05:27";"2020-02-14 10:10:40";34;59.2
28;"2020-02-14 13:22:07";"2020-02-14 14:46:11";58.1;53
28;"2020-02-18 09:20:58";"2020-02-18 11:04:20";53;44.6
28;"2020-02-18 15:38:57";"2020-02-18 17:18:57";42.3;36.6
28;"2020-02-19 15:58:31";"2020-02-19 16:03:44";25.5;59
28;"2020-02-19 16:03:44";"2020-02-19 17:16:49";59;52
28;"2020-02-21 10:00:10";"2020-02-21 11:46:10";49;40.9
28;"2020-02-25 16:14:02";"2020-02-25 16:19:49";29.5;59.7
28;"2020-02-27 16:07:38";"2020-02-27 16:12:38";30.5;59.2
28;"2020-02-28 09:32:43";"2020-02-28 10:57:43";55.1;44.1
28;"2020-02-28 12:26:54";"2020-02-28 13:42:54";44.7;37.9
28;"2020-03-02 11:27:26";"2020-03-02 12:43:30";37.9;32.1
28;"2020-03-03 08:58:37";"2020-03-03 09:01:53";28;59.4
28;"2020-03-03 15:30:14";"2020-03-03 16:33:14";53.8;47.9
28;"2020-03-04 14:37:17";"2020-03-04 16:34:17";35.5;27.4
28;"2020-03-06 11:58:59";"2020-03-06 12:04:30";17.2;59.8
28;"2020-03-06 14:09:56";"2020-03-06 15:40:08";58.3;52.6
28;"2020-03-10 10:39:06";"2020-03-10 11:34:07";52.6;47.2
28;"2020-03-12 10:50:23";"2020-03-12 10:54:58";21.8;59.5
28;"2020-03-12 14:47:35";"2020-03-12 15:35:35";49.9;44.1
28;"2020-03-12 16:17:35";"2020-03-12 17:23:35";44.1;37.2
28;"2020-03-13 14:32:43";"2020-03-13 14:37:43";33.2;59.5
28;"2020-03-24 13:13:51";"2020-03-24 13:18:51";31.2;59.3
28;"2020-03-31 10:07:18";"2020-03-31 11:06:18";48.5;43.4
28;"2020-05-13 11:29:18";"2020-05-13 11:35:47";29.2;59.2
28;"2020-05-14 12:27:57";"2020-05-14 13:49:57";54;48.6
28;"2020-05-15 11:46:08";"2020-05-15 12:45:08";39.5;32.8
28;"2020-05-15 14:12:37";"2020-05-15 14:56:37";32.8;27
28;"2020-05-18 15:57:32";"2020-05-18 16:02:23";21.8;59
28;"2020-05-21 10:55:39";"2020-05-21 12:29:39";40.5;34.1
28;"2020-05-22 10:34:09";"2020-05-22 10:54:50";28.5;58.8
28;"2020-05-22 15:13:37";"2020-05-22 16:19:37";57.4;51.9
28;"2020-06-22 10:15:59";"2020-06-22 10:28:59";50.4;58.4
28;"2020-06-22 10:28:59";"2020-06-22 13:18:59";58.4;35.3
28;"2020-06-22 13:55:59";"2020-06-22 16:27:59";35.3;14.4
28;"2020-06-22 16:27:59";"2020-06-22 16:33:59";14.4;59
28;"2020-06-22 16:33:59";"2020-06-22 19:43:00";59;38.7
28;"2020-06-23 15:40:12";"2020-06-23 17:04:12";32.3;27.2
28;"2020-06-24 16:20:31";"2020-06-24 18:01:31";22.5;13.3
28;"2020-06-24 18:01:31";"2020-06-24 18:09:31";13.3;59.9
28;"2020-06-24 18:09:31";"2020-06-24 19:09:31";59.9;53.6
28;"2020-06-25 07:54:11";"2020-06-25 09:17:49";53.6;45.7
28;"2020-06-26 08:06:10";"2020-06-26 09:39:11";40.7;33.9
28;"2020-06-29 07:45:02";"2020-06-29 09:30:02";27;19.9
28;"2020-06-29 20:52:02";"2020-06-29 20:58:02";9.3;58.9
28;"2020-06-29 20:58:02";"2020-06-29 21:59:02";58.9;53.7
28;"2020-06-30 07:49:13";"2020-06-30 09:39:13";53.7;46.4
28;"2020-06-30 16:29:13";"2020-06-30 18:15:13";46.4;40.3
