"DTIME";"BEVALUE"
"2020-01-09 08:39:38";0
"2020-01-09 08:40:43";141,6
"2020-01-09 08:41:43";141,6
"2020-01-09 08:42:43";141,6
"2020-01-09 08:43:43";141,6
"2020-01-09 08:44:43";141,5
"2020-01-09 08:45:43";141,4
"2020-01-09 08:46:43";141,4
"2020-01-09 08:47:42";141,4
"2020-01-09 08:48:43";141,3
"2020-01-09 08:49:43";141,2
"2020-01-09 08:50:43";140,9
"2020-01-09 08:52:05";140,9
"2020-01-09 08:53:05";140,8
"2020-01-09 08:54:05";140,8
"2020-01-09 08:55:05";140,9
"2020-01-09 08:56:05";140,9
"2020-01-09 08:57:05";140,9
"2020-01-09 08:58:05";141
"2020-01-09 08:59:05";141
"2020-01-09 09:00:05";141,1
"2020-01-09 09:01:05";141,1
"2020-01-09 09:02:05";141,2
"2020-01-09 09:03:05";141,2
"2020-01-09 09:04:05";141,2
"2020-01-09 09:05:05";141,2
"2020-01-09 09:06:05";141,3
"2020-01-09 09:07:05";141,3
"2020-01-09 09:08:05";141,3
"2020-01-09 09:09:05";141,3
"2020-01-09 09:10:05";141,3
"2020-01-09 09:11:05";141,3
"2020-01-09 09:12:05";141,3
"2020-01-09 09:13:05";141,3
"2020-01-09 09:14:05";141,3
"2020-01-09 09:15:05";141,3
"2020-01-09 09:16:05";141,3
"2020-01-09 09:17:05";141,3
"2020-01-09 09:18:05";141,3
"2020-01-09 09:19:05";141,2
"2020-01-09 09:20:05";141,2
"2020-01-09 09:21:05";141,2
"2020-01-09 09:22:05";141,1
"2020-01-09 09:23:05";141,1
"2020-01-09 09:24:05";141,1
"2020-01-09 09:25:05";141,1
"2020-01-09 09:26:05";141
"2020-01-09 09:27:05";141
"2020-01-09 09:28:05";140,9
"2020-01-09 09:29:05";140,9
"2020-01-09 09:30:05";140,9
"2020-01-09 09:31:05";140,9
"2020-01-09 09:32:05";140,9
"2020-01-09 09:33:05";140,1
"2020-01-09 09:34:05";140,8
"2020-01-09 09:35:05";140,9
"2020-01-09 09:36:05";140,9
"2020-01-09 09:37:05";140,9
"2020-01-09 09:38:05";140,9
"2020-01-09 09:39:05";140,7
"2020-01-09 09:40:05";140,6
"2020-01-09 09:41:05";140,5
"2020-01-09 09:42:05";140,4
"2020-01-09 09:43:05";140,3
"2020-01-09 09:44:05";140,3
"2020-01-09 09:45:05";140,2
"2020-01-09 09:46:05";140,2
"2020-01-09 09:47:05";140
"2020-01-09 09:48:05";139,8
"2020-01-09 09:49:05";140,6
"2020-01-09 09:50:05";139,3
"2020-01-09 09:51:05";139
"2020-01-09 09:52:05";137,8
"2020-01-09 09:53:05";139,3
"2020-01-09 09:54:05";138,1
"2020-01-09 09:55:05";137,3
"2020-01-09 09:56:05";137,3
"2020-01-09 09:57:05";136,9
"2020-01-09 09:58:05";137,7
"2020-01-09 09:59:05";137,1
"2020-01-09 10:00:05";135,9
"2020-01-09 10:01:05";135,9
"2020-01-09 10:02:05";136,9
"2020-01-09 10:03:05";136
"2020-01-09 10:04:05";136,8
"2020-01-09 10:05:05";134,7
"2020-01-09 10:06:04";134,5
"2020-01-09 10:07:05";134,5
"2020-01-09 10:08:05";135
"2020-01-09 10:09:05";134,3
"2020-01-09 10:10:05";133,1
"2020-01-09 10:11:05";134
"2020-01-09 10:12:05";134,1
"2020-01-09 10:13:05";132,7
"2020-01-09 10:14:05";133,2
"2020-01-09 10:15:05";133,2
"2020-01-09 10:16:05";134,3
"2020-01-09 10:17:05";134,3
"2020-01-09 10:18:05";132,8
"2020-01-09 10:19:05";133,2
"2020-01-09 10:20:05";134,2
"2020-01-09 10:21:05";133,8
"2020-01-09 10:22:05";132,6
"2020-01-09 10:23:05";131,6
"2020-01-09 10:24:05";131,3
"2020-01-09 10:25:05";131,7
"2020-01-09 10:26:05";131,8
"2020-01-09 10:27:05";130,7
"2020-01-09 10:28:05";131,3
"2020-01-09 10:29:05";131
"2020-01-09 10:30:05";130,1
"2020-01-09 10:31:05";130,3
"2020-01-09 10:32:05";129,9
"2020-01-09 10:33:05";129,4
"2020-01-09 10:34:05";130,3
"2020-01-09 10:35:05";129
"2020-01-09 10:36:05";127,4
"2020-01-09 10:37:05";127,8
"2020-01-09 10:38:05";128,5
"2020-01-09 10:39:05";127,6
"2020-01-09 10:40:05";127,9
"2020-01-09 10:41:05";128,3
"2020-01-09 10:42:05";127,8
"2020-01-09 10:43:05";127,8
"2020-01-09 10:44:05";127,7
"2020-01-09 12:10:57";125,9
"2020-01-09 12:11:57";125,8
"2020-01-09 12:12:57";125,8
"2020-01-09 12:13:57";125,7
"2020-01-09 12:14:56";125,7
"2020-01-09 12:15:57";125,6
"2020-01-09 12:16:57";125,6
"2020-01-09 12:17:57";125,6
"2020-01-09 12:18:57";125,5
"2020-01-09 12:19:57";125,3
"2020-01-09 12:20:57";125,3
"2020-01-09 12:21:57";125,2
"2020-01-09 12:22:57";125,2
"2020-01-09 12:23:57";125,2
"2020-01-09 12:24:57";125,2
"2020-01-09 12:25:57";125,3
"2020-01-09 12:26:57";125,3
"2020-01-09 12:27:57";125,4
"2020-01-09 12:28:57";125,4
"2020-01-09 12:29:57";125,4
"2020-01-09 12:30:57";125,5
"2020-01-09 12:31:57";125,5
"2020-01-09 12:32:57";125,4
"2020-01-09 12:33:57";125,5
"2020-01-09 12:34:57";125,5
"2020-01-09 12:35:57";125,4
"2020-01-09 12:36:57";125,4
"2020-01-09 12:37:57";125,4
"2020-01-09 12:38:57";125,3
"2020-01-09 12:39:57";125,3
"2020-01-09 12:40:57";125,3
"2020-01-09 12:41:57";125,2
"2020-01-09 12:42:57";125,2
"2020-01-09 12:43:57";125,2
"2020-01-09 12:44:57";125,1
"2020-01-09 12:45:57";125
"2020-01-09 12:46:57";123,5
"2020-01-09 12:47:57";124,5
"2020-01-09 12:48:57";124
"2020-01-09 12:49:57";124,5
"2020-01-09 12:50:57";123,2
"2020-01-09 12:51:57";123,9
"2020-01-09 12:52:57";121,8
"2020-01-09 12:53:57";122,9
"2020-01-09 12:54:57";122,3
"2020-01-09 12:55:57";122,1
"2020-01-09 12:56:57";121,2
"2020-01-09 12:57:57";122,3
"2020-01-09 12:58:57";121
"2020-01-09 12:59:57";120,7
"2020-01-09 13:00:57";120,1
"2020-01-09 13:01:57";120,7
"2020-01-09 13:02:57";118,9
"2020-01-09 13:03:57";118
"2020-01-09 13:04:57";119,3
"2020-01-09 13:05:57";119,4
"2020-01-09 13:06:57";119,2
"2020-01-09 13:07:57";118,4
"2020-01-09 13:08:57";118,6
"2020-01-09 13:09:57";119,1
"2020-01-09 13:10:57";116,6
"2020-01-09 13:11:57";120,1
"2020-01-09 13:12:57";117,4
"2020-01-09 13:13:57";117,1
"2020-01-09 13:14:57";117,3
"2020-01-09 13:15:57";117,7
"2020-01-09 13:16:57";116,2
"2020-01-09 13:17:57";117,1
"2020-01-09 13:18:57";115,6
"2020-01-09 13:19:57";115,7
"2020-01-09 13:20:57";115,6
"2020-01-09 13:21:57";114,8
"2020-01-09 13:22:57";113,8
"2020-01-09 13:23:57";115,8
"2020-01-09 13:24:57";114,2
"2020-01-09 13:25:57";113,4
"2020-01-09 13:26:57";114,3
"2020-01-09 13:27:57";113,6
"2020-01-09 13:28:57";113,6
"2020-01-09 13:29:57";113,3
"2020-01-09 13:30:57";113,6
"2020-01-09 13:31:57";113,6
"2020-01-09 13:32:57";113,5
"2020-01-09 13:33:57";113,4
"2020-01-09 13:34:57";113,4
"2020-01-09 13:35:57";113,3
"2020-01-09 13:36:57";113,2
"2020-01-09 13:37:57";113,1
"2020-01-09 13:38:57";112,9
"2020-01-09 13:39:57";113
"2020-01-09 13:40:57";112,9
"2020-01-09 13:41:57";112,8
"2020-01-09 13:42:57";112,8
"2020-01-09 13:43:57";112,7
"2020-01-09 13:44:57";112,5
"2020-01-09 13:45:57";112,7
"2020-01-09 13:46:57";112,5
"2020-01-09 13:47:57";112,8
"2020-01-09 13:48:57";111,7
"2020-01-09 13:49:57";111,9
"2020-01-09 13:50:57";111,6
"2020-01-09 13:51:57";111,4
"2020-01-09 13:52:57";110,9
"2020-01-09 13:53:57";110,6
"2020-01-09 13:54:57";110,9
"2020-01-09 13:55:57";110,2
"2020-01-09 13:56:57";109,4
"2020-01-09 13:57:57";109,9
