"DTIME";"BEVALUE"
"2020-01-09 08:39:38";1
"2020-01-09 08:40:43";1
"2020-01-09 08:41:43";1
"2020-01-09 08:42:43";1
"2020-01-09 08:43:43";1
"2020-01-09 08:44:43";1
"2020-01-09 08:45:43";1
"2020-01-09 08:46:43";1
"2020-01-09 08:47:42";1
"2020-01-09 08:48:43";1
"2020-01-09 08:49:43";1
"2020-01-09 08:50:43";1
"2020-01-09 08:52:05";1
"2020-01-09 08:53:05";1
"2020-01-09 08:54:05";1
"2020-01-09 08:55:05";1
"2020-01-09 08:56:05";1
"2020-01-09 08:57:05";1
"2020-01-09 08:58:05";1
"2020-01-09 08:59:05";1
"2020-01-09 09:00:05";1
"2020-01-09 09:01:05";1
"2020-01-09 09:02:05";1
"2020-01-09 09:03:05";1
"2020-01-09 09:04:05";1
"2020-01-09 09:05:05";1
"2020-01-09 09:06:05";1
"2020-01-09 09:07:05";1
"2020-01-09 09:08:05";1
"2020-01-09 09:09:05";1
"2020-01-09 09:10:05";1
"2020-01-09 09:11:05";1
"2020-01-09 09:12:05";1
"2020-01-09 09:13:05";1
"2020-01-09 09:14:05";1
"2020-01-09 09:15:05";1
"2020-01-09 09:16:05";1
"2020-01-09 09:17:05";1
"2020-01-09 09:18:05";1
"2020-01-09 09:19:05";1
"2020-01-09 09:20:05";1
"2020-01-09 09:21:05";1
"2020-01-09 09:22:05";1
"2020-01-09 09:23:05";1
"2020-01-09 09:24:05";1
"2020-01-09 09:25:05";1
"2020-01-09 09:26:05";1
"2020-01-09 09:27:05";1
"2020-01-09 09:28:05";1
"2020-01-09 09:29:05";1
"2020-01-09 09:30:05";1
"2020-01-09 09:31:05";1
"2020-01-09 09:32:05";1
"2020-01-09 09:33:05";1
"2020-01-09 09:33:29";1
"2020-01-09 09:34:05";1
"2020-01-09 09:35:05";1
"2020-01-09 09:36:05";1
"2020-01-09 09:37:05";1
"2020-01-09 09:38:05";1
"2020-01-09 09:39:05";1
"2020-01-09 09:40:05";1
"2020-01-09 09:41:05";1
"2020-01-09 09:42:05";1
"2020-01-09 09:43:05";1
"2020-01-09 09:44:05";1
"2020-01-09 09:45:05";1
"2020-01-09 09:46:05";1
"2020-01-09 09:47:05";1
"2020-01-09 09:47:11";1
"2020-01-09 09:47:31";1
"2020-01-09 09:47:54";1
"2020-01-09 09:47:57";1
"2020-01-09 09:48:05";1
"2020-01-09 09:48:17";1
"2020-01-09 09:48:48";1
"2020-01-09 09:49:05";1
"2020-01-09 09:49:11";1
"2020-01-09 09:49:14";1
"2020-01-09 09:49:20";1
"2020-01-09 09:49:25";1
"2020-01-09 09:49:37";1
"2020-01-09 09:49:47";1
"2020-01-09 09:49:57";1
"2020-01-09 09:50:05";1
"2020-01-09 09:51:05";1
"2020-01-09 09:51:26";1
"2020-01-09 09:51:34";1
"2020-01-09 09:51:37";1
"2020-01-09 09:51:41";1
"2020-01-09 09:52:03";1
"2020-01-09 09:52:05";1
"2020-01-09 09:52:19";1
