"DTIME";"BEVALUE"
"2020-01-09 09:55:47";0
"2020-01-09 09:57:26";0
"2020-01-09 10:00:49";0
"2020-01-09 10:01:49";0
"2020-01-10 09:27:27";1347
"2020-01-10 09:34:56";2439
"2020-01-10 09:35:56";689
"2020-01-10 09:36:56";2353
"2020-01-10 09:37:56";673
"2020-01-10 09:38:36";1288
"2020-01-10 09:38:53";1439
"2020-01-10 09:38:56";1369
"2020-01-10 09:39:08";1177
"2020-01-10 09:39:20";680
"2020-01-10 09:39:56";1076
"2020-01-10 09:40:12";968
"2020-01-10 09:40:24";726
"2020-01-10 09:40:32";1510
"2020-01-10 09:40:35";1976
"2020-01-10 09:40:56";1729
"2020-01-10 09:41:28";1363
"2020-01-10 09:41:31";663
"2020-01-10 09:41:35";915
"2020-01-10 09:41:37";1211
"2020-01-10 09:41:40";1887
"2020-01-10 09:41:56";707
"2020-01-10 09:42:03";1010
"2020-01-10 09:42:06";705
"2020-01-10 09:42:09";695
"2020-01-10 09:42:41";1590
"2020-01-10 09:42:56";1780
"2020-01-10 09:43:15";1718
"2020-01-10 09:43:19";1102
"2020-01-10 09:43:31";2426
"2020-01-10 09:43:36";1450
"2020-01-10 09:43:56";1168
"2020-01-10 09:44:08";736
"2020-01-10 09:44:31";1050
"2020-01-10 09:44:33";1420
"2020-01-10 09:44:35";1813
"2020-01-10 09:44:44";1506
"2020-01-10 09:44:56";1256
"2020-01-10 09:45:32";1615
"2020-01-10 09:45:36";1975
"2020-01-10 09:45:38";2122
"2020-01-10 09:45:42";1787
"2020-01-10 09:45:56";1755
"2020-01-10 09:46:40";1163
"2020-01-10 09:46:50";676
"2020-01-10 09:46:52";649
"2020-01-10 09:46:55";1942
"2020-01-10 09:46:56";2264
"2020-01-10 09:47:01";763
"2020-01-10 09:47:56";666
"2020-01-10 09:52:09";678
"2020-01-10 09:52:38";692
"2020-01-10 09:52:52";923
"2020-01-10 09:52:56";970
"2020-01-10 09:53:00";1331
"2020-01-10 09:53:09";990
"2020-01-10 09:53:23";735
"2020-01-10 09:54:09";0
"2020-01-10 09:56:40";0
"2020-01-10 09:57:09";685
"2020-01-10 09:57:40";661
"2020-01-10 09:58:40";1232
"2020-01-10 09:58:44";1426
"2020-01-10 09:58:50";691
"2020-01-10 09:59:05";757
"2020-01-10 09:59:22";1118
"2020-01-10 09:59:27";1206
"2020-01-10 09:59:31";839
"2020-01-10 09:59:39";676
"2020-01-10 09:59:40";686
"2020-01-10 10:00:40";1066
"2020-01-10 10:00:43";2187
"2020-01-10 10:00:52";710
"2020-01-10 10:01:01";656
"2020-01-10 10:01:13";1168
"2020-01-10 10:01:40";834
"2020-01-10 10:01:53";972
"2020-01-10 10:01:55";1286
"2020-01-10 10:01:59";1656
"2020-01-10 10:02:17";1531
"2020-01-10 10:02:21";1523
"2020-01-10 10:02:24";1761
"2020-01-10 10:02:36";683
"2020-01-10 10:02:38";688
"2020-01-10 10:02:40";1508
"2020-01-10 10:02:42";1302
"2020-01-10 10:02:44";1484
"2020-01-10 10:02:47";2075
"2020-01-10 10:02:55";1671
"2020-01-10 10:03:23";1652
"2020-01-10 10:03:27";1812
"2020-01-10 10:03:40";2335
"2020-01-10 10:04:09";1681
"2020-01-10 10:04:15";1617
"2020-01-10 10:04:18";1611
"2020-01-10 10:04:20";1604
"2020-01-10 10:04:23";1585
"2020-01-10 10:04:25";1635
"2020-01-10 10:04:28";1781
"2020-01-10 10:04:39";2116
"2020-01-10 10:04:40";2143
"2020-01-10 10:04:44";2145
"2020-01-10 10:04:48";2127
"2020-01-10 10:04:52";2087
"2020-01-10 10:04:55";2105
"2020-01-10 10:04:59";2202
"2020-01-10 10:05:07";2332
"2020-01-10 10:05:17";2260
"2020-01-10 10:05:22";2269
"2020-01-10 10:05:28";2371
"2020-01-10 10:05:35";2653
"2020-01-10 10:05:40";2570
"2020-01-10 10:05:45";2554
"2020-01-10 10:05:52";2563
"2020-01-10 10:05:58";2566
"2020-01-10 10:06:04";2580
"2020-01-10 10:06:09";2538
"2020-01-10 10:06:15";2473
"2020-01-10 10:06:40";2426
"2020-01-10 10:07:02";2506
"2020-01-10 10:07:07";2480
"2020-01-10 10:07:11";2385
"2020-01-10 10:07:15";2223
"2020-01-10 10:07:20";2064
"2020-01-10 10:07:24";1021
"2020-01-10 10:07:40";1566
"2020-01-10 10:07:48";2779
"2020-01-10 10:07:56";2383
"2020-01-10 10:08:00";2686
"2020-01-10 10:08:05";2628
"2020-01-10 10:08:10";2371
"2020-01-10 10:08:14";2279
"2020-01-10 10:08:17";2202
"2020-01-10 10:08:20";2111
"2020-01-10 10:08:23";2091
"2020-01-10 10:08:27";2195
"2020-01-10 10:08:31";2228
"2020-01-10 10:08:34";2202
"2020-01-10 10:08:37";2170
"2020-01-10 10:08:40";2094
"2020-01-10 10:08:52";2363
"2020-01-10 10:09:01";2355
"2020-01-10 10:09:12";2244
"2020-01-10 10:09:19";2188
"2020-01-10 10:09:40";2171
"2020-01-10 10:09:47";2138
"2020-01-10 10:09:53";2103
"2020-01-10 10:09:59";2117
"2020-01-10 10:10:03";2122
"2020-01-10 10:10:06";2175
"2020-01-10 10:10:09";2207
"2020-01-10 10:10:12";2241
"2020-01-10 10:10:15";2223
"2020-01-10 10:10:18";2202
"2020-01-10 10:10:22";2237
"2020-01-10 10:10:29";2250
"2020-01-10 10:10:32";2242
"2020-01-10 10:10:35";2268
"2020-01-10 10:10:38";2277
"2020-01-10 10:10:40";2292
"2020-01-10 10:10:43";2288
"2020-01-10 10:10:46";2246
"2020-01-10 10:10:50";2286
"2020-01-10 10:11:04";2190
"2020-01-10 10:11:07";2176
"2020-01-10 10:11:10";2225
"2020-01-10 10:11:15";2175
"2020-01-10 10:11:36";2288
"2020-01-10 10:11:40";2218
"2020-01-10 10:11:49";2232
"2020-01-10 10:11:54";2328
"2020-01-10 10:12:11";2416
"2020-01-10 10:12:23";2424
"2020-01-10 10:12:26";2397
"2020-01-10 10:12:29";2365
"2020-01-10 10:12:32";2309
"2020-01-10 10:12:35";2225
"2020-01-10 10:12:39";2160
"2020-01-10 10:12:40";2156
"2020-01-10 10:12:43";2122
"2020-01-10 10:12:47";2124
"2020-01-10 10:12:50";2132
"2020-01-10 10:12:53";2183
"2020-01-10 10:12:56";2251
"2020-01-10 10:12:59";2377
"2020-01-10 10:13:02";2401
"2020-01-10 10:13:11";2381
"2020-01-10 10:13:15";2403
"2020-01-10 10:13:19";2405
"2020-01-10 10:13:25";2432
"2020-01-10 10:13:40";2445
"2020-01-10 10:14:04";2410
"2020-01-10 10:14:08";2428
"2020-01-10 10:14:13";2418
"2020-01-10 10:14:31";2264
"2020-01-10 10:14:40";2295
"2020-01-10 10:14:53";2225
